n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.302525,0.019902,0.0393,0.039808,0.650463,0.9996
10000,0.380312,0.019902,0.0501,0.039808,0.597459,0.9997
10000,0.366791,0.019902,0.0408,0.039808,0.653341,0.9997
10000,0.741897,0.019902,0.0402,0.039808,0.658075,0.9998
10000,0.444474,0.019902,0.0426,0.039808,0.620163,0.9999
10000,0.280015,0.019902,0.0376,0.039808,0.681697,0.9998
10000,0.386422,0.019902,0.0389,0.039808,0.647343,0.9999
10000,0.360143,0.019902,0.0407,0.039808,0.673035,0.9999
10000,0.492664,0.019902,0.0389,0.039808,0.679984,0.9998
10000,0.282278,0.019902,0.0372,0.039808,0.672144,0.9996
10000,0.284143,0.019902,0.0379,0.039808,0.650315,0.9996
10000,0.390282,0.019902,0.0414,0.039808,0.682844,0.9998
10000,0.676336,0.019902,0.0392,0.039808,0.666507,0.9998
10000,0.294933,0.019902,0.0418,0.039808,0.694879,0.9999
10000,0.435671,0.019902,0.0429,0.039808,0.703568,0.9997
10000,0.308257,0.019902,0.0386,0.039808,0.641077,0.9995
10000,0.668765,0.019902,0.0389,0.039808,0.675465,0.9996
10000,0.215802,0.019902,0.0373,0.039808,0.668505,0.9996
10000,0.324841,0.019902,0.0376,0.039808,0.655441,0.9998
10000,0.263344,0.019902,0.0401,0.039808,0.666205,0.9998
10000,0.480041,0.019902,0.0378,0.039808,0.694174,0.9998
10000,0.582249,0.019902,0.036,0.039808,0.670381,0.9997
10000,0.773279,0.019902,0.0375,0.039808,0.70069,0.9996
10000,0.613151,0.019902,0.0375,0.039808,0.59411,0.9998
10000,0.527184,0.019902,0.0367,0.039808,0.653468,0.9999
10000,0.532974,0.019902,0.0415,0.039808,0.700038,0.9997
10000,0.543402,0.019902,0.0347,0.039808,0.702292,1
10000,0.390739,0.019902,0.0407,0.039808,0.620522,0.9998
10000,0.346019,0.019902,0.04,0.039808,0.671044,0.9998
10000,0.788354,0.019902,0.043,0.039808,0.615941,0.9997
10000,0.370625,0.019902,0.038,0.039808,0.673689,0.9997
10000,0.690947,0.019902,0.0435,0.039808,0.660006,0.9997
10000,0.404855,0.019902,0.038,0.039808,0.687579,0.9995
10000,0.671521,0.019902,0.0407,0.039808,0.651126,0.9995
10000,0.350195,0.019902,0.038,0.039808,0.662558,0.9997
10000,0.473194,0.019902,0.0386,0.039808,0.639692,0.9994
10000,0.417039,0.019902,0.0363,0.039808,0.6635,0.9998
10000,0.639542,0.019902,0.0399,0.039808,0.650383,0.9997
10000,0.264975,0.019902,0.0424,0.039808,0.681761,0.9998
10000,0.485703,0.019902,0.0396,0.039808,0.63743,0.9999
10000,0.70201,0.019902,0.0382,0.039808,0.696972,0.9997
10000,0.3198,0.019902,0.0415,0.039808,0.668692,0.9996
10000,0.551267,0.019902,0.0456,0.039808,0.659083,0.9997
10000,0.781737,0.019902,0.0385,0.039808,0.644466,0.9996
10000,0.456815,0.019902,0.0362,0.039808,0.639585,0.9999
10000,0.35704,0.019902,0.0398,0.039808,0.648198,0.9995
10000,0.793631,0.019902,0.0413,0.039808,0.693089,0.9999
10000,0.540245,0.019902,0.0422,0.039808,0.690678,0.9998
10000,0.367022,0.019902,0.042,0.039808,0.667369,0.9999
10000,0.773464,0.019902,0.0381,0.039808,0.644482,0.9999
10000,0.256527,0.019902,0.0391,0.039808,0.681075,0.9998
10000,0.226761,0.019902,0.0395,0.039808,0.64769,0.9998
10000,0.377147,0.019902,0.0413,0.039808,0.690664,0.9995
10000,0.667502,0.019902,0.0391,0.039808,0.68588,0.9996
10000,0.457954,0.019902,0.0373,0.039808,0.648784,0.9997
10000,0.371827,0.019902,0.0413,0.039808,0.636345,0.9996
10000,0.238439,0.019902,0.0439,0.039808,0.646691,0.9997
10000,0.36324,0.019902,0.0414,0.039808,0.605167,0.9995
10000,0.434109,0.019902,0.0384,0.039808,0.70269,0.9999
10000,0.263887,0.019902,0.0415,0.039808,0.628941,0.9999
10000,0.304833,0.019902,0.038,0.039808,0.660441,0.9997
10000,0.338222,0.019902,0.0424,0.039808,0.678828,0.9998
10000,0.620501,0.019902,0.0378,0.039808,0.663897,0.9998
10000,0.419489,0.019902,0.036,0.039808,0.67567,0.9993
10000,0.375111,0.019902,0.0415,0.039808,0.630436,0.9999
10000,0.75981,0.019902,0.0373,0.039808,0.656306,0.9999
10000,0.377323,0.019902,0.0357,0.039808,0.654701,0.9999
10000,0.330281,0.019902,0.0383,0.039808,0.638659,1
10000,0.302575,0.019902,0.0387,0.039808,0.674683,0.9997
10000,0.339477,0.019902,0.0402,0.039808,0.677109,0.9998
10000,0.395223,0.019902,0.0366,0.039808,0.68279,0.9998
10000,0.678636,0.019902,0.0366,0.039808,0.716378,1
10000,0.347936,0.019902,0.0411,0.039808,0.634137,0.9997
10000,0.301992,0.019902,0.0386,0.039808,0.674296,0.9998
10000,0.466473,0.019902,0.0427,0.039808,0.650389,0.9995
10000,0.376606,0.019902,0.0384,0.039808,0.668233,0.9999
10000,0.500998,0.019902,0.0402,0.039808,0.645379,0.9999
10000,0.662374,0.019902,0.0412,0.039808,0.661368,0.9999
10000,0.486944,0.019902,0.0413,0.039808,0.638547,0.9999
10000,0.427207,0.019902,0.0392,0.039808,0.681173,1
10000,0.388392,0.019902,0.0413,0.039808,0.699801,1
10000,0.390011,0.019902,0.041,0.039808,0.675693,0.9998
10000,0.250372,0.019902,0.0365,0.039808,0.692919,0.9999
10000,0.369565,0.019902,0.0426,0.039808,0.683749,0.9996
10000,0.543288,0.019902,0.0405,0.039808,0.652006,0.9998
10000,0.407502,0.019902,0.0371,0.039808,0.657392,0.9999
10000,0.300893,0.019902,0.0424,0.039808,0.662774,0.9997
10000,0.227643,0.019902,0.0376,0.039808,0.6625,0.9996
10000,0.340783,0.019902,0.0395,0.039808,0.652151,1
10000,0.633787,0.019902,0.0382,0.039808,0.723773,0.9997
10000,0.326054,0.019902,0.036,0.039808,0.664494,0.9997
10000,0.335321,0.019902,0.0382,0.039808,0.694579,0.9998
10000,0.389169,0.019902,0.039,0.039808,0.656894,0.9998
10000,0.327717,0.019902,0.0358,0.039808,0.649596,0.9998
10000,0.572852,0.019902,0.0389,0.039808,0.653808,0.9996
10000,0.384523,0.019902,0.0405,0.039808,0.654513,1
10000,0.279413,0.019902,0.0403,0.039808,0.641608,0.9999
10000,0.513065,0.019902,0.0407,0.039808,0.667387,0.9999
10000,0.489905,0.019902,0.0409,0.039808,0.645906,0.9998
10000,0.632621,0.019902,0.0412,0.039808,0.653997,0.9998
10000,0.476932,0.019902,0.0416,0.039808,0.693911,0.9996
10000,0.35634,0.019902,0.0338,0.039808,0.723344,1
10000,0.391842,0.019902,0.0421,0.039808,0.638014,0.9996
10000,0.463188,0.019902,0.0343,0.039808,0.711977,0.9999
10000,0.73918,0.019902,0.0368,0.039808,0.659903,0.9995
10000,0.277984,0.019902,0.0415,0.039808,0.627749,0.9998
10000,0.358539,0.019902,0.0377,0.039808,0.687102,0.9998
10000,0.338089,0.019902,0.0434,0.039808,0.645514,0.9998
10000,0.712378,0.019902,0.0386,0.039808,0.681504,1
10000,0.634985,0.019902,0.0433,0.039808,0.681889,0.9999
10000,0.483817,0.019902,0.0412,0.039808,0.600315,0.9995
10000,0.448662,0.019902,0.0361,0.039808,0.683962,0.9996
10000,0.309226,0.019902,0.0401,0.039808,0.667033,0.9997
10000,0.673627,0.019902,0.0395,0.039808,0.678782,0.9998
10000,0.417324,0.019902,0.0326,0.039808,0.686082,0.9999
10000,0.554843,0.019902,0.0417,0.039808,0.643196,0.9998
