n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.672256,0.49615,0.0191,0.662633,0.674492,0.9999
10000,0.718265,0.50345,0.0186,0.668334,0.677557,0.9998
10000,0.317207,0.49845,0.0195,0.664633,0.667788,0.9998
10000,0.785933,0.50125,0.0189,0.665933,0.670489,1
10000,0.337267,0.49575,0.0188,0.663133,0.661266,1
10000,0.722358,0.50255,0.0189,0.669434,0.661906,0.9999
10000,0.753114,0.50275,0.0197,0.663233,0.660724,0.9999
10000,0.411708,0.490949,0.0193,0.669234,0.668962,0.9999
10000,0.293769,0.49715,0.0189,0.675135,0.671638,0.9999
10000,0.456718,0.49775,0.0193,0.667934,0.670012,0.9999
10000,0.515635,0.50325,0.0197,0.662332,0.669239,0.9999
10000,0.750297,0.50065,0.019,0.665933,0.66132,0.9999
10000,0.618275,0.50185,0.019,0.665133,0.666592,1
10000,0.320709,0.50295,0.0189,0.667333,0.677832,0.9997
10000,0.728352,0.50155,0.0188,0.665533,0.667637,0.9999
10000,0.534432,0.49885,0.0186,0.672334,0.667556,1
10000,0.261628,0.49745,0.0197,0.672434,0.671101,0.9999
10000,0.308192,0.49995,0.0198,0.665633,0.666443,0.9999
10000,0.466493,0.49675,0.0187,0.675635,0.67239,1
10000,0.3015,0.49965,0.0194,0.670334,0.667413,0.9999
10000,0.497029,0.50485,0.0196,0.661732,0.673844,1
10000,0.263594,0.50305,0.0192,0.663433,0.668441,0.9998
10000,0.771181,0.49705,0.0202,0.669234,0.667567,1
10000,0.441181,0.494649,0.0194,0.662232,0.665881,1
10000,0.323967,0.50385,0.0187,0.669634,0.672548,0.9997
10000,0.86404,0.50205,0.0193,0.672434,0.671513,0.9997
10000,0.612149,0.49835,0.0189,0.665833,0.665727,0.9998
10000,0.785763,0.49925,0.0187,0.672334,0.67554,1
10000,0.530108,0.49625,0.0186,0.674535,0.671215,1
10000,0.32289,0.50065,0.0197,0.667433,0.666169,0.9999
10000,0.878721,0.50325,0.0188,0.664333,0.66757,0.9999
10000,0.791861,0.49765,0.0189,0.660932,0.666401,1
10000,0.721099,0.49605,0.0187,0.673835,0.666542,1
10000,0.314478,0.49775,0.0197,0.661532,0.667315,1
10000,0.774355,0.50265,0.0194,0.662933,0.671156,0.9999
10000,0.437234,0.50295,0.019,0.665433,0.668421,0.9998
10000,0.703888,0.49895,0.0191,0.668334,0.662394,1
10000,0.616493,0.49985,0.0193,0.663833,0.667042,0.9998
10000,0.381578,0.50345,0.0193,0.666433,0.664563,0.9999
10000,0.337116,0.49765,0.0192,0.666333,0.667203,0.9999
10000,0.381503,0.49865,0.019,0.664733,0.667183,1
10000,0.400791,0.49935,0.0192,0.664333,0.663901,1
10000,0.337827,0.50085,0.0197,0.667634,0.667362,0.9998
10000,0.498368,0.50065,0.0192,0.664133,0.662396,1
