n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.435694,0.00120012,0.1857,0.00240048,0.651216,0.9997
10000,0.64691,0.00120012,0.222,0.00240048,0.725578,0.9996
10000,0.306751,0.00120012,0.2388,0.00240048,0.541127,0.9995
10000,0.366581,0.00120012,0.2888,0.00240048,0.438024,0.9996
10000,0.537652,0.00120012,0.2337,0.00240048,0.676026,0.9999
10000,0.630739,0.00120012,0.196,0.00240048,0.702891,0.9999
10000,0.267816,0.00120012,0.2388,0.00240048,0.521654,0.9997
10000,0.362848,0.00120012,0.2194,0.00240048,0.608529,0.9998
10000,0.270706,0.00120012,0.2536,0.00240048,0.691063,1
10000,0.503672,0.00120012,0.2309,0.00240048,0.591774,0.9995
10000,0.674609,0.00120012,0.2566,0.00240048,0.610215,0.9996
10000,0.601528,0.00120012,0.1619,0.00240048,0.753243,0.9998
10000,0.424213,0.00120012,0.2128,0.00240048,0.722012,0.9997
10000,0.526021,0.00120012,0.2502,0.00240048,0.563165,1
10000,0.64674,0.00120012,0.2231,0.00240048,0.764759,0.9998
10000,0.58823,0.00120012,0.2611,0.00240048,0.692051,0.9999
10000,0.663698,0.00120012,0.1805,0.00240048,0.815509,0.9998
10000,0.309439,0.00120012,0.1928,0.00240048,0.784167,1
10000,0.322893,0.00120012,0.1957,0.00240048,0.622878,0.9998
10000,0.406301,0.00120012,0.2109,0.00240048,0.633793,0.9997
10000,0.289651,0.00120012,0.295,0.00240048,0.427929,0.9992
10000,0.421305,0.00120012,0.2795,0.00240048,0.497773,0.9999
10000,0.319124,0.00120012,0.2186,0.00240048,0.80518,0.9997
10000,0.301121,0.00120012,0.2366,0.00240048,0.725962,1
10000,0.436292,0.00120012,0.2715,0.00240048,0.557895,0.9997
10000,0.190831,0.00120012,0.2987,0.00240048,0.492053,0.9999
10000,0.336402,0.00120012,0.2507,0.00240048,0.618799,0.9998
10000,0.560472,0.00120012,0.1842,0.00240048,0.524284,0.9999
10000,0.443744,0.00120012,0.2295,0.00240048,0.580395,0.9997
10000,0.17812,0.00120012,0.2544,0.00240048,0.600876,0.9999
10000,0.37106,0.00120012,0.2841,0.00240048,0.594474,0.9997
10000,0.252178,0.00120012,0.2992,0.00240048,0.473034,0.9998
10000,0.389773,0.00120012,0.2024,0.00240048,0.645554,0.9997
10000,0.392511,0.00120012,0.2214,0.00240048,0.708599,0.9996
10000,0.699872,0.00120012,0.1675,0.00240048,0.8816,1
10000,0.310651,0.00120012,0.2372,0.00240048,0.779147,0.9999
10000,0.307175,0.00120012,0.2564,0.00240048,0.634444,1
10000,0.590533,0.00120012,0.2259,0.00240048,0.696813,0.9998
10000,0.343087,0.00120012,0.2712,0.00240048,0.554297,0.9997
10000,0.463382,0.00120012,0.2471,0.00240048,0.582255,0.9999
