n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.389348,0.09991,0.0207,0.19984,0.670075,0.9996
10000,0.282459,0.09991,0.0213,0.19984,0.666762,0.9997
10000,0.327213,0.09991,0.0221,0.19964,0.644264,0.9998
10000,0.436669,0.09991,0.0204,0.19964,0.672754,1
10000,0.379993,0.09991,0.021,0.19984,0.660137,0.9999
10000,0.528763,0.09991,0.0218,0.19984,0.685125,0.9998
10000,0.620344,0.09991,0.0222,0.19984,0.682514,0.9995
10000,0.299548,0.09991,0.0207,0.19964,0.683584,0.9998
10000,0.655432,0.09991,0.0214,0.19984,0.651647,0.9999
10000,0.356768,0.09991,0.022,0.19984,0.659344,0.9997
10000,0.320445,0.09991,0.0227,0.19964,0.641819,0.9999
10000,0.396695,0.09991,0.0211,0.19964,0.672058,0.9998
10000,0.448705,0.09991,0.0201,0.19944,0.657494,1
10000,0.266036,0.09991,0.0209,0.19924,0.665946,0.9995
10000,0.42468,0.09991,0.022,0.19984,0.646926,0.9996
10000,0.288788,0.09991,0.0212,0.19964,0.666791,0.9997
10000,0.602447,0.09991,0.0217,0.19904,0.676091,0.9999
10000,0.657547,0.09991,0.0223,0.19984,0.645252,0.9995
10000,0.36723,0.09991,0.0217,0.19984,0.669211,0.9998
10000,0.689092,0.09991,0.0204,0.19964,0.654569,0.9996
10000,0.520079,0.09991,0.0207,0.19944,0.663946,0.9998
10000,0.482511,0.09991,0.0225,0.19944,0.644002,0.9998
10000,0.470868,0.09991,0.0214,0.19984,0.671931,0.9998
10000,0.427975,0.09991,0.0217,0.19964,0.658766,0.9999
10000,0.618527,0.09991,0.0214,0.19984,0.672415,0.9999
10000,0.624844,0.09991,0.0207,0.19964,0.662584,0.9996
10000,0.598842,0.09991,0.0217,0.19984,0.678123,0.9999
10000,0.294142,0.09991,0.021,0.19964,0.668795,0.9997
10000,0.610368,0.09991,0.0207,0.19964,0.679395,0.9999
10000,0.686206,0.09991,0.0204,0.19984,0.676988,0.9998
10000,0.421659,0.09991,0.0209,0.19984,0.656596,0.9998
10000,0.470787,0.09991,0.0216,0.19964,0.660742,0.9998
10000,0.388085,0.09991,0.0219,0.19964,0.657826,0.9997
10000,0.479455,0.09991,0.0211,0.19924,0.657046,0.9999
10000,0.445234,0.09991,0.0218,0.19964,0.669224,0.9997
10000,0.288185,0.09991,0.0204,0.19944,0.675918,0.9996
10000,0.570379,0.09991,0.0224,0.19964,0.653401,0.9998
10000,0.383492,0.09991,0.0209,0.19944,0.673807,0.9998
10000,0.531675,0.09991,0.0215,0.19984,0.669267,0.9998
10000,0.33982,0.09991,0.0208,0.19984,0.662151,0.9999
10000,0.420944,0.09991,0.0207,0.19964,0.665513,0.9999
10000,0.365367,0.09991,0.0204,0.19984,0.667846,1
10000,0.670767,0.09991,0.0212,0.19964,0.66032,0.9996
10000,0.551651,0.09991,0.0207,0.19984,0.694555,0.9998
10000,0.404262,0.09991,0.0223,0.19984,0.678138,1
10000,0.417805,0.09991,0.0202,0.19964,0.683171,0.9999
10000,0.34872,0.09991,0.0207,0.19984,0.673414,0.9998
